threshold,spanmax_acc,spanmax_prec,spanmax_rec,spanmax_f1
0.3800,0.0000,0.0000,0.0000,0.0000
0.4200,0.0000,0.0000,0.0000,0.0000
0.4400,0.0000,0.0000,0.0000,0.0000
0.4600,0.0000,0.0000,0.0000,0.0000
0.4800,0.0000,0.0000,0.0000,0.0000
0.5000,0.0000,0.0000,0.0000,0.0000

# Best threshold by macro F1: 0.38
# Per-dataset (Span-Max) at 0.38:
